lat,lng,population,Location
46.8403,-123.2333,684,"Oakville, WA"
47.3131,-122.4153,1007,"Dash Point, WA"
47.2645,-122.8348,69,"Herron Island, WA"
46.4023,-117.063,5895,"West Clarkston-Highland, WA"
46.9,-119.6142,2205,"Royal City, WA"
45.786,-122.4721,4196,"Venersborg, WA"
46.9863,-123.9023,8500,"Hoquiam, WA"
46.6755,-123.6648,204,"Willapa, WA"
47.8369,-122.9058,432,"Quilcene, WA"
48.0185,-122.5358,1698,"Freeland, WA"
47.0584,-123.2723,1691,"McCleary, WA"
45.7476,-120.2161,107,"Roosevelt, WA"
46.3559,-124.0556,1413,"Long Beach, WA"
45.9976,-121.5291,654,"Trout Lake, WA"
47.9688,-118.9761,1079,"Coulee Dam, WA"
48.2829,-121.7136,1030,"Swede Heaven, WA"
48.6502,-118.6834,111,"Pine Grove, WA"
48.0337,-122.4084,1124,"Langley, WA"
48.5113,-122.2321,11838,"Sedro-Woolley, WA"
46.7735,-118.8277,101,"Hatton, WA"
47.678,-120.2175,1223,"Entiat, WA"
47.6439,-122.5434,24522,"Bainbridge Island, WA"
47.3041,-122.211,80776,"Auburn, WA"
47.0763,-124.162,168,"Ocean City, WA"
46.3769,-120.7382,973,"White Swan, WA"
45.7138,-122.7103,8065,"Felida, WA"
47.0458,-122.7934,49748,"Lacey, WA"
47.8566,-121.6927,2301,"Gold Bar, WA"
47.6303,-122.218,3318,"Clyde Hill, WA"
46.2403,-123.3247,70,"Upper Elochoman, WA"
48.6642,-118.0601,183,"Marcus, WA"
48.1157,-121.9831,3319,"Canyon Creek, WA"
46.9779,-123.3035,543,"Malone, WA"
47.8064,-122.1844,10424,"Bothell East, WA"
47.6452,-122.2179,1126,"Yarrow Point, WA"
47.0075,-117.3502,183,"Steptoe, WA"
46.3115,-119.3997,14596,"West Richland, WA"
48.8637,-118.2059,132,"Orient, WA"
47.309,-122.3359,96690,"Federal Way, WA"
46.5712,-123.2982,653,"Pe Ell, WA"
46.3521,-123.6984,151,"Deep River, WA"
47.7736,-122.2044,45533,"Bothell, WA"
47.3886,-120.2829,2057,"South Wenatchee, WA"
47.4014,-121.4109,235,"Snoqualmie Pass, WA"
47.6895,-119.1081,154,"Hartline, WA"
47.7597,-122.2878,13392,"Lake Forest Park, WA"
47.0843,-122.1225,1332,"Crocker, WA"
46.7653,-122.1946,53,"Elbe, WA"
47.3563,-121.9692,1579,"Ravensdale, WA"
48.1697,-122.1446,19212,"Arlington, WA"
47.1328,-122.4924,3337,"McChord AFB, WA"
46.5641,-123.5509,101,"Lebam, WA"
48.9503,-122.4544,17340,"Lynden, WA"
48.2172,-122.6775,1928,"Coupeville, WA"
46.2988,-118.3126,304,"Prescott, WA"
46.668,-123.8008,1651,"South Bend, WA"
46.2115,-119.9938,2532,"Mabton, WA"
47.4898,-121.7738,6821,"North Bend, WA"
47.3316,-122.8413,982,"Grapeview, WA"
47.0103,-117.1395,614,"Garfield, WA"
46.8288,-123.0722,2923,"Rochester, WA"
46.3168,-117.9769,2637,"Dayton, WA"
47.2822,-122.2504,3185,"Algona, WA"
46.7193,-122.1859,193,"Mineral, WA"
48.7783,-118.1329,119,"Barstow, WA"
47.2348,-124.2025,0,"Moclips, WA"
48.7543,-122.4687,126015,"Bellingham, WA"
46.4045,-122.9569,643,"Vader, WA"
47.8533,-122.2762,20626,"North Lynnwood, WA"
47.6095,-122.6533,5937,"Tracyton, WA"
45.7282,-121.4853,2552,"White Salmon, WA"
48.9477,-122.1406,4196,"Peaceful Valley, WA"
47.4718,-122.0854,11401,"East Renton Highlands, WA"
48.854,-117.3899,178,"Metaline, WA"
48.8381,-122.2313,240,"Deming, WA"
47.5712,-117.6893,4818,"Medical Lake, WA"
46.9757,-123.8095,29089,"Aberdeen, WA"
46.6637,-122.9647,7533,"Chehalis, WA"
46.5783,-122.7112,709,"Onalaska, WA"
46.4414,-122.8496,751,"Toledo, WA"
48.9123,-122.351,4709,"Everson, WA"
47.4495,-122.8487,4063,"Belfair, WA"
47.8285,-122.3035,38273,"Lynnwood, WA"
46.5675,-117.1285,467,"Colton, WA"
47.2296,-117.4731,209,"Malden, WA"
47.6346,-121.9664,1526,"Ames Lake, WA"
47.423,-119.1176,212,"Wilson Creek, WA"
46.9647,-122.6029,2887,"North Yelm, WA"
47.4616,-121.9936,3682,"Mirrormont, WA"
48.3387,-122.6616,1938,"Whidbey Island Station, WA"
47.7259,-117.4221,5001,"Town and Country, WA"
46.709,-123.9839,330,"Tokeland, WA"
47.5293,-121.8412,26054,"Snoqualmie, WA"
47.5436,-122.7121,216480,"Bremerton, WA"
46.1968,-123.358,503,"East Cathlamet, WA"
47.0955,-122.5672,13920,"Fort Lewis, WA"
45.7099,-122.6632,21068,"Salmon Creek, WA"
47.7103,-121.3586,216,"Skykomish, WA"
47.2431,-122.4531,213418,"Tacoma, WA"
47.8596,-121.9853,18789,"Monroe, WA"
48.8235,-119.6398,117,"Loomis, WA"
46.4737,-117.5967,1388,"Pomeroy, WA"
45.725,-122.5483,2783,"Brush Prairie, WA"
47.8635,-122.1497,22937,"Silver Firs, WA"
48.167,-118.9722,313,"Nespelem, WA"
47.8583,-122.3156,3049,"Meadowdale, WA"
47.4017,-122.0764,2655,"Shadow Lake, WA"
46.8021,-117.9013,324,"LaCrosse, WA"
48.5371,-121.7512,729,"Concrete, WA"
48.9956,-122.2695,1464,"Sumas, WA"
47.2982,-122.51,828,"Ruston, WA"
45.8589,-122.6764,3171,"La Center, WA"
48.0568,-122.6933,1084,"Marrowstone, WA"
47.7995,-119.9882,86,"Chelan Falls, WA"
48.3225,-122.0122,179,"Lake Cavanaugh, WA"
45.7838,-122.647,1379,"Duluth, WA"
48.0747,-123.0944,20750,"Sequim, WA"
46.2624,-119.4814,4591,"Benton City, WA"
47.1284,-119.2741,37774,"Moses Lake, WA"
47.2308,-122.5157,6794,"Fircrest, WA"
46.8222,-119.1651,12375,"Othello, WA"
47.5625,-122.2265,25261,"Mercer Island, WA"
47.2017,-121.9897,11784,"Enumclaw, WA"
47.6234,-122.7198,2635,"Chico, WA"
47.5885,-122.6058,2231,"Enetai, WA"
47.642,-122.229,434,"Hunts Point, WA"
47.9731,-122.3577,811,"Clinton, WA"
48.013,-122.3201,48,"Hat Island, WA"
48.7932,-122.5566,4495,"Marietta-Alderwood, WA"
46.2696,-118.151,1195,"Waitsburg, WA"
47.4913,-120.3493,3641,"Sunnyslope, WA"
47.1862,-120.9525,560,"South Cle Elum, WA"
46.6482,-120.5389,7859,"Selah, WA"
46.9704,-118.6165,556,"Lind, WA"
45.6883,-122.5738,18405,"Five Corners, WA"
48.4716,-120.179,439,"Winthrop, WA"
47.4344,-122.3436,6649,"Normandy Park, WA"
47.279,-122.7744,1375,"Home, WA"
47.0407,-122.2757,26939,"Graham, WA"
45.865,-122.4059,1735,"Yacolt, WA"
46.6085,-121.6702,230,"Packwood, WA"
47.5314,-124.3385,199,"Queets, WA"
46.1697,-119.0446,6015,"Finley, WA"
48.9159,-117.7796,296,"Northport, WA"
47.6256,-122.2338,3267,"Medina, WA"
47.3036,-122.4369,1122,"Browns Point, WA"
47.1694,-122.3628,7876,"Summit, WA"
46.7916,-117.2511,608,"Albion, WA"
48.7199,-122.3468,7621,"Sudden Valley, WA"
47.9618,-122.0943,3604,"Bunk Foss, WA"
46.6594,-120.6025,2474,"Gleed, WA"
45.6928,-120.807,73,"Maryhill, WA"
47.0233,-124.1632,0,"Oyehut, WA"
46.7872,-122.2667,133,"Alder, WA"
45.8116,-122.7052,7117,"Ridgefield, WA"
48.24,-122.1638,1990,"Bryant, WA"
47.0178,-122.6728,690,"Nisqually Indian Community, WA"
46.9489,-123.2736,222,"Porter, WA"
48.6055,-118.062,1611,"Kettle Falls, WA"
47.8417,-120.027,6078,"Chelan, WA"
48.5602,-122.431,156,"Edison, WA"
47.4031,-123.8782,373,"Neilton, WA"
47.2475,-122.6255,3848,"Fox Island, WA"
47.4758,-122.1905,101379,"Renton, WA"
47.7661,-121.4803,173,"Baring, WA"
47.412,-121.996,6736,"Hobart, WA"
46.0847,-118.9056,329,"Wallula, WA"
46.0412,-118.6724,437,"Touchet, WA"
